"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051962","GO:0051962","positive regulation of nervous system development","21/283","285/18805",0.0736842105263158,4.89622466059141,8.19257316764693,2.38205422982146e-09,8.21808709288404e-06,6.45160582455855e-06,"1382/26045/23767/8153/6387/3976/1959/6091/7422/2048/50937/146433/84189/2049/8140/57633/7472/54674/26011/118738/40",21
"GO:0051960","GO:0051960","regulation of nervous system development","25/283","454/18805",0.0550660792951542,3.65907286623807,7.08928924937257,2.63891241035807e-08,4.55212390786767e-05,3.57364296413227e-05,"1382/26045/23767/8153/6387/3976/11221/10371/1959/80031/1030/6091/7422/2048/50937/146433/84189/2049/8140/57633/7472/54674/26011/118738/40",25
"GO:0043269","GO:0043269","regulation of monoatomic ion transport","25/283","472/18805",0.0529661016949153,3.51953195184764,6.85249140507868,5.6206326774781e-08,6.46372757909981e-05,5.07434662426356e-05,"6536/1193/6387/6324/623/23327/5581/5027/10008/2048/5593/287/2847/57620/815/57731/150/845/3787/134/196051/5743/40/1230/1520",25
"GO:0010720","GO:0010720","positive regulation of cell development","22/283","447/18805",0.0492170022371365,3.27040892957368,6.00509060033791,1.24209150911692e-06,0.00107130392661334,0.0008410266981468,"6659/1382/8153/6387/3976/11221/8111/1959/8654/6091/7422/2048/50937/146433/1960/8651/8140/7472/26011/8744/118738/1230",22
"GO:0001503","GO:0001503","ossification","22/283","458/18805",0.0480349344978166,3.19186199021711,5.86999610521247,1.85180422608883e-06,0.00124621569135038,0.000978341105673389,"1277/338773/4856/55603/4086/1959/1901/55366/5027/7130/126820/7422/8200/3082/81621/1591/6662/25884/340419/5743/2263/1230",22
"GO:0035924","GO:0035924","cellular response to vascular endothelial growth factor stimulus","11/283","122/18805",0.0901639344262295,5.9912819324567,6.83664625795619,2.3638918705604e-06,0.00124621569135038,0.000978341105673389,"7412/6091/7422/2048/10077/1960/2049/3592/2044/2263/5228",11
"GO:0010959","GO:0010959","regulation of metal ion transport","20/283","403/18805",0.0496277915632754,3.29770537225228,5.76353252911593,3.38128958286551e-06,0.00124621569135038,0.000978341105673389,"1193/6387/6324/623/23327/5581/5027/10008/287/2847/57620/815/57731/150/845/3787/134/196051/5743/1230",20
"GO:1903522","GO:1903522","regulation of blood circulation","16/283","269/18805",0.0594795539033457,3.95234279559158,6.02850062914899,3.42332628740733e-06,0.00124621569135038,0.000978341105673389,"9096/1193/624/79924/6324/7042/8654/10008/287/57731/143872/150/845/134/5743/40",16
"GO:0007411","GO:0007411","axon guidance","15/283","238/18805",0.0630252100840336,4.18794726371114,6.11791075493606,3.43124662265647e-06,0.00124621569135038,0.000978341105673389,"23767/6387/9252/6324/10371/1959/80031/85449/10381/6091/7422/2048/25894/2049/2044",15
"GO:0097485","GO:0097485","neuron projection guidance","15/283","239/18805",0.0627615062761506,4.17042447181276,6.0972161046401,3.6122193952185e-06,0.00124621569135038,0.000978341105673389,"23767/6387/9252/6324/10371/1959/80031/85449/10381/6091/7422/2048/25894/2049/2044",15
"GO:0051965","GO:0051965","positive regulation of synapse assembly","8/283","66/18805",0.121212121212121,8.05439554556162,7.09631636040464,6.42742715249616e-06,0.00194883294921454,0.00152993048919268,"26045/23767/2048/84189/2049/57633/54674/40",8
