"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045178","GO:0045178","basal part of cell","16/300","317/19880",0.0504731861198738,3.3446898002103,5.20893392314001,2.78957733663177e-05,0.0077367449072172,0.00718743875167122,"6536/6533/9497/360/5010/10008/8613/114/287/6563/8140/150/368/134/123264/23705",16
"GO:0016323","GO:0016323","basolateral plasma membrane","14/300","264/19880",0.053030303030303,3.51414141414141,5.09023683677007,5.19244624645449e-05,0.0077367449072172,0.00718743875167122,"6536/6533/9497/360/8613/114/287/6563/8140/150/368/134/123264/23705",14
"GO:0009925","GO:0009925","basal plasma membrane","14/300","298/19880",0.0469798657718121,3.11319910514541,4.54958284343069,0.000186839097025347,0.0122472424367034,0.0113776925498163,"6536/6533/9497/360/8613/114/287/6563/8140/150/368/134/123264/23705",14
"GO:0098984","GO:0098984","neuron to neuron synapse","17/300","414/19880",0.0410628019323672,2.72109500805153,4.3804447447091,0.000199542818191631,0.0122472424367034,0.0113776925498163,"6536/154796/26045/2048/114/23043/815/1821/64101/150/2900/64506/9890/134/23705/40/6457",17
"GO:0032279","GO:0032279","asymmetric synapse","16/300","376/19880",0.0425531914893617,2.81985815602837,4.40982310094984,0.000205490644911132,0.0122472424367034,0.0113776925498163,"6536/154796/26045/114/23043/815/1821/64101/150/2900/64506/9890/134/23705/40/6457",16
"GO:0045211","GO:0045211","postsynaptic membrane","14/300","321/19880",0.043613707165109,2.89013499480789,4.22594233155492,0.000397628926176206,0.0171589221729675,0.0159406447597684,"115207/6536/6533/26045/23767/2048/287/64101/23017/150/2900/9890/134/40",14
"GO:0014069","GO:0014069","postsynaptic density","15/300","360/19880",0.0416666666666667,2.76111111111111,4.17397315261242,0.000403061930237491,0.0171589221729675,0.0159406447597684,"6536/154796/26045/114/23043/815/1821/64101/150/2900/64506/9890/23705/40/6457",15
"GO:0098686","GO:0098686","hippocampal mossy fiber to CA3 synapse","5/300","49/19880",0.102040816326531,6.76190476190476,4.998542152097,0.000838256425900807,0.031225051864805,0.0290080842120937,"6536/26045/2048/114/2900",5
"GO:0099572","GO:0099572","postsynaptic specialization","15/300","396/19880",0.0378787878787879,2.51010101010101,3.75721529023854,0.00106761156217619,0.0353498050587228,0.0328399813862384,"6536/154796/26045/114/23043/815/1821/64101/150/2900/64506/9890/23705/40/6457",15
"GO:0097060","GO:0097060","synaptic membrane","16/300","452/19880",0.0353982300884956,2.34572271386431,3.58230288834135,0.00148655754757346,0.0442994149176891,0.0411541721065073,"115207/1759/6536/6533/26045/23767/2048/114/287/64101/23017/150/2900/9890/134/40",16
