"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007015","GO:0007015","actin filament organization","100/1979","463/18805",0.215982721382289,2.0523269709924,7.86276740209897,1.45346576689599e-12,3.92429184736402e-09,3.08030491091997e-09,"9181/6840/84940/10810/10092/91663/154796/4082/9475/8153/388/7791/6387/85464/6722/171024/10093/55604/65108/23500/11170/5295/7171/5881/4739/51734/81553/4088/1809/1901/83543/10979/5581/10487/2764/390/1265/10602/123016/126820/28984/25802/10391/2475/23189/283/9788/11034/57731/2316/6093/6708/4641/57381/221061/800/4771/116985/359845/64780/9645/8936/10580/5290/5217/9948/1730/51763/283431/10096/5339/3717/9124/26999/2013/23616/375/79822/7169/23075/71/51466/4643/1902/57482/961/51429/90102/57704/123720/2934/10787/10094/3092/1072/84501/64423/832/5357/2185",100
"GO:0030198","GO:0030198","extracellular matrix organization","80/1979","339/18805",0.23598820058997,2.2424245134383,7.9166422746656,2.37984019440436e-12,3.92429184736402e-09,3.08030491091997e-09,"323/4239/83716/1277/8837/90993/9510/140766/1294/2131/3908/5806/3912/302/4811/8313/1281/7042/1282/4016/4088/9509/1301/11096/3491/1284/2683/1286/28984/4982/1278/10218/1298/5045/1290/4324/3673/871/79147/10516/3915/7133/10630/5468/858/2295/861/81621/1289/2824/59350/8292/857/6662/11173/4643/4319/8516/10653/2022/1471/90102/1285/1287/538/4060/23187/10211/7982/8985/5156/342371/4851/89932/255631/81031/50509/285590/4320/1520",80
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","103/1979","487/18805",0.211498973305955,2.00972116878145,7.7425584153527,2.58330830942735e-12,3.92429184736402e-09,3.08030491091997e-09,"9181/5912/121512/154796/9475/23179/8153/388/10235/6009/64283/5894/604/9265/1281/396/7042/5881/9771/5364/57568/10928/10979/84144/6091/390/85360/10602/4925/10982/23189/55701/2048/50937/1278/6236/11214/6237/9411/1026/80005/9815/27342/27/90627/8878/890/6093/115557/57381/25894/5516/29/9855/116985/28964/50650/10630/8936/2305/143872/150/56990/2768/6655/83892/221178/23616/286205/79822/10769/23075/10253/57514/11261/57493/1902/5900/9710/6494/84078/3707/22800/9828/22898/8036/4893/23365/23362/26037/9901/10787/58504/10211/4851/1072/7157/4803/85442/4168/79658/1435/4038",103
"GO:0043062","GO:0043062","extracellular structure organization","80/1979","340/18805",0.235294117647059,2.2358291472223,7.88643653059003,2.79823962309929e-12,3.92429184736402e-09,3.08030491091997e-09,"323/4239/83716/1277/8837/90993/9510/140766/1294/2131/3908/5806/3912/302/4811/8313/1281/7042/1282/4016/4088/9509/1301/11096/3491/1284/2683/1286/28984/4982/1278/10218/1298/5045/1290/4324/3673/871/79147/10516/3915/7133/10630/5468/858/2295/861/81621/1289/2824/59350/8292/857/6662/11173/4643/4319/8516/10653/2022/1471/90102/1285/1287/538/4060/23187/10211/7982/8985/5156/342371/4851/89932/255631/81031/50509/285590/4320/1520",80
"GO:0045229","GO:0045229","external encapsulating structure organization","80/1979","341/18805",0.234604105571848,2.22927246350611,7.85633552948077,3.28722721340595e-12,3.92429184736402e-09,3.08030491091997e-09,"323/4239/83716/1277/8837/90993/9510/140766/1294/2131/3908/5806/3912/302/4811/8313/1281/7042/1282/4016/4088/9509/1301/11096/3491/1284/2683/1286/28984/4982/1278/10218/1298/5045/1290/4324/3673/871/79147/10516/3915/7133/10630/5468/858/2295/861/81621/1289/2824/59350/8292/857/6662/11173/4643/4319/8516/10653/2022/1471/90102/1285/1287/538/4060/23187/10211/7982/8985/5156/342371/4851/89932/255631/81031/50509/285590/4320/1520",80
"GO:0001503","GO:0001503","ossification","97/1979","458/18805",0.2117903930131,2.01249031865152,7.5231316855105,1.04344695045958e-11,1.0380558078822e-08,8.1480392570098e-09,"7704/1052/1277/90993/25840/338773/6272/4856/55603/23051/117581/4086/2131/8313/7171/1959/4088/10272/3952/5364/5728/1301/1901/3516/10979/3491/55366/5027/8642/7130/91461/5587/126820/7422/51684/56975/22904/8200/1278/182/51564/1290/3376/847/51232/3082/79147/28964/359845/5468/57560/861/91/81621/2824/1192/116039/27316/1591/6662/25884/5781/6781/58476/11173/9188/340419/10312/6546/22800/9249/2201/7424/166929/3199/102724560/1021/2737/9260/4037/5743/4664/4851/91851/2263/865/5167/1230/3570/4192/490/5595/1435/4209/10527/2185/4038",97
"GO:0043434","GO:0043434","response to peptide hormone","99/1979","494/18805",0.200404858299595,1.90430184958256,6.9851934537483,1.72140425832058e-10,1.46786600255936e-07,1.15217599305036e-07,"54206/28999/8660/1277/8837/6272/2308/5562/55829/9475/117581/57085/3625/6387/9518/5894/8013/3164/5295/1281/6774/1959/4088/6777/3952/6776/11031/65010/5587/2050/83667/2475/22937/23189/2048/114/8503/55023/815/4193/890/6093/3297/847/4641/143686/677/133/3480/54741/8651/5468/10580/5290/858/2049/5159/51763/2852/55777/3717/5791/81565/10999/6655/57761/857/55022/5781/252983/130399/3667/64506/1979/2043/6443/2890/9852/1385/6844/8036/10014/27131/2044/5743/23236/5156/2263/23371/9882/3624/5167/5166/3764/490/5970/6720/5595/8743",99
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","80/1979","369/18805",0.21680216802168,2.06011357738641,7.05325858573117,2.11878501435434e-10,1.58087846883513e-07,1.24088317090673e-07,"8660/8837/2308/5562/55829/9475/57085/3625/9518/5894/8013/3164/5295/6774/6777/3952/6776/11031/65010/5587/2050/2475/23189/2048/114/8503/55023/815/4193/890/6093/3297/4641/143686/677/3480/54741/8651/5468/10580/5290/858/2049/5159/51763/2852/55777/3717/5791/81565/10999/6655/57761/857/55022/5781/252983/3667/64506/1979/2043/6443/2890/6844/8036/10014/27131/2044/23236/5156/2263/23371/9882/3624/5167/5166/490/5970/6720/5595",80
"GO:0070482","GO:0070482","response to oxygen levels","78/1979","358/18805",0.217877094972067,2.07032782766535,7.01217962304509,2.78819328154861e-10,1.84919174417374e-07,1.45149102879215e-07,"18/7412/1277/6659/8837/2308/2309/5562/9475/57085/4609/7057/6387/3976/6722/360/10370/7042/4088/3952/836/5581/10038/94/28984/2475/22937/7422/283/65018/9114/84557/1026/1374/23576/4193/890/3673/3297/847/126374/677/64344/133/5468/8140/28996/9124/2034/857/6781/10060/64506/5885/134/2043/1902/27113/3709/3066/2022/6868/8322/84292/538/7424/3778/102724560/5743/4851/9915/2263/7157/3624/5228/3764/4891/2185",78
"GO:0032970","GO:0032970","regulation of actin filament-based process","82/1979","392/18805",0.209183673469388,1.98772055563003,6.77754523804619,7.84124405975549e-10,4.68043857926805e-07,3.67382919052333e-07,"6840/10810/10092/91663/11113/154796/9475/8153/6387/85464/488/171024/55604/23500/11170/5295/5881/4739/81553/4088/1901/10979/5581/2764/390/1265/5587/10602/123016/126820/28984/25802/10391/2475/23189/287/11214/9788/11034/57731/2316/6717/27/6093/6708/59/51126/4771/116985/10630/8936/5290/5217/9948/5159/51763/2824/26999/857/23616/375/79822/5154/23075/6781/71/51466/134/1902/57482/64411/961/51429/90102/57704/123720/2934/10787/2044/10094/5156/2185",82
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","68/1979","303/18805",0.224422442244224,2.13252351005692,6.81579906027299,1.04845232313726e-09,5.68928356073298e-07,4.46570458400376e-07,"9181/121512/154796/64283/5894/604/9265/1281/396/7042/5364/57568/10928/10979/84144/6091/85360/10982/23189/55701/2048/50937/11214/9411/9815/27342/27/90627/8878/115557/25894/5516/29/116985/28964/50650/2305/143872/56990/6655/83892/221178/23616/286205/79822/23075/10253/57514/57493/1902/6494/84078/3707/9828/22898/8036/23365/23362/26037/9901/58504/10211/4851/4803/4168/79658/1435/4038",68
"GO:0001666","GO:0001666","response to hypoxia","69/1979","316/18805",0.218354430379747,2.07486359943969,6.60842190033259,2.6944667972544e-09,1.34027269273429e-06,1.05202383461222e-06,"18/7412/6659/8837/2309/5562/9475/57085/4609/7057/6387/3976/6722/360/10370/7042/4088/3952/836/5581/94/28984/2475/22937/7422/283/65018/1374/23576/4193/890/3673/3297/847/126374/677/64344/133/5468/28996/9124/2034/857/6781/10060/64506/5885/134/2043/27113/3709/2022/6868/8322/84292/538/7424/3778/102724560/5743/4851/9915/2263/7157/3624/5228/3764/4891/2185",69
"GO:0036293","GO:0036293","response to decreased oxygen levels","71/1979","330/18805",0.215151515151515,2.0444286217404,6.56449145417823,3.0931450106938e-09,1.42022942837164e-06,1.1147844892792e-06,"18/7412/6659/8837/2309/5562/9475/57085/4609/7057/6387/3976/6722/360/10370/7042/4088/3952/836/5581/10038/94/28984/2475/22937/7422/283/65018/84557/1374/23576/4193/890/3673/3297/847/126374/677/64344/133/5468/28996/9124/2034/857/6781/10060/64506/5885/134/2043/27113/3709/2022/6868/8322/84292/538/7424/3778/102724560/5743/4851/9915/2263/7157/3624/5228/3764/4891/2185",71
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","73/1979","348/18805",0.209770114942529,1.99329308311989,6.41422297670599,5.86842481457218e-09,2.50204483701295e-06,1.96393675561359e-06,"6840/10810/10092/91663/11113/154796/9475/8153/6387/85464/171024/55604/23500/11170/5295/5881/4739/81553/4088/1901/10979/5581/2764/390/5587/10602/123016/126820/28984/25802/10391/2475/23189/11214/9788/11034/57731/2316/27/6093/6708/51126/4771/116985/8936/5290/5217/9948/5159/51763/2824/26999/23616/375/79822/5154/23075/71/51466/1902/57482/64411/961/51429/90102/57704/123720/2934/10787/2044/10094/5156/2185",73
"GO:0061448","GO:0061448","connective tissue development","64/1979","291/18805",0.219931271477663,2.08984717541054,6.42568665828733,7.49440597952773e-09,2.98227395278674e-06,2.34088428174582e-06,"7704/54206/1277/8837/7048/4856/5562/5396/4086/2131/6722/8313/1281/91252/7314/4088/3952/1301/3491/91461/94/5593/151449/8200/116236/59/871/2487/79147/359845/25987/5468/5290/114789/5159/140606/57560/861/1289/3696/59350/116039/6662/25884/10865/5781/6781/11173/340419/64764/538/102724560/2737/4851/7298/9149/3570/129642/4192/285590/5310/5595/1435/4209",64
"GO:0032868","GO:0032868","response to insulin","69/1979","324/18805",0.212962962962963,2.02363239945352,6.37398990253515,8.00667032059879e-09,2.98698844647839e-06,2.34458484190692e-06,"54206/28999/8660/1277/8837/6272/2308/5562/55829/117581/3625/5894/5295/1959/3952/11031/2050/83667/2475/22937/23189/2048/8503/55023/847/4641/143686/677/133/3480/8651/5468/10580/5290/858/2049/5159/51763/5791/81565/10999/6655/57761/55022/5781/252983/130399/3667/64506/1979/2043/6443/9852/6844/10014/27131/2044/5156/2263/23371/9882/5167/5166/3764/490/5970/6720/5595/8743",69
"GO:0030099","GO:0030099","myeloid cell differentiation","88/1979","455/18805",0.193406593406593,1.8378024199146,6.20421515956743,1.07383536463338e-08,3.77042546558625e-06,2.95953015974189e-06,"7704/338382/8837/7048/2309/4609/3976/6722/604/302/8111/3148/10370/5295/22985/7171/6774/4739/10272/6777/1030/6776/2908/3516/836/7130/6510/2475/7422/56975/22904/4982/8861/182/2316/146433/84529/4237/4792/3297/55509/84959/677/9855/140685/8651/5468/5663/9948/1054/28996/57560/23456/2629/861/91/55170/3696/27086/3717/5293/2034/10234/84522/5781/25946/7107/399665/10312/54790/3707/814/1385/79577/23218/28962/139716/80762/1021/7994/865/3624/1230/150274/4212/1435/4891/2185",88
"GO:0003012","GO:0003012","muscle system process","89/1979","467/18805",0.190578158458244,1.8109258563958,6.08584910789949,1.83459532603079e-08,6.0837219450432e-06,4.77531216149885e-06,"323/18/28999/783/309/8837/2308/10611/2309/147/9475/1193/29995/488/6722/624/8013/3164/2668/6324/7171/4088/23327/3952/8654/476/114907/10038/1760/6444/10008/3162/5587/25802/2475/5592/287/2316/6717/80005/6093/3673/59/800/79147/801/7133/5468/5290/1837/143872/150/6525/219931/2852/6332/4637/27086/845/857/7169/4205/6781/10060/5606/134/3720/3066/2146/6546/7139/6926/140465/3778/1129/2934/444/3752/5743/9472/4851/3768/3764/490/8735/3320/9682/10848/322",89
