"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","GO:0005925","focal adhesion","91/2055","424/19880",0.214622641509434,2.07625212321535,7.60603958679343,8.37863484167144e-12,4.46682148964056e-09,3.95657638380638e-09,"9181/91624/309/6840/7094/247/10092/23032/4082/23767/79834/388/7791/85464/3603/171024/11170/5500/7171/4739/83543/10979/10487/390/1265/60/10982/10391/11252/81/7041/23022/7414/3315/6237/2316/9815/2319/10673/3673/847/8895/823/3927/28964/55679/8936/10580/858/5604/5159/10096/54751/5339/2783/3696/2768/3717/9124/60312/2317/55742/857/375/57514/11261/71/51466/3159/8516/2022/6868/22800/5782/90102/2934/10787/58504/10211/10094/9260/22919/9590/1072/79026/23371/928/214/7529/5595/2185",91
"GO:0030055","GO:0030055","cell-substrate junction","92/2055","434/19880",0.211981566820276,2.05070245663606,7.51446182395032,1.3235026635972e-11,4.46682148964056e-09,3.95657638380638e-09,"9181/91624/309/6840/7094/247/10092/23032/4082/23767/79834/388/7791/85464/3603/171024/11170/5500/7171/4739/83543/10979/10487/390/1265/60/10982/10391/3909/11252/81/7041/23022/7414/3315/6237/2316/9815/2319/10673/3673/847/8895/823/3927/28964/55679/8936/10580/858/5604/5159/10096/54751/5339/2783/3696/2768/3717/9124/60312/2317/55742/857/375/57514/11261/71/51466/3159/8516/2022/6868/22800/5782/90102/2934/10787/58504/10211/10094/9260/22919/9590/1072/79026/23371/928/214/7529/5595/2185",92
"GO:0098644","GO:0098644","complex of collagen trimers","14/2055","21/19880",0.666666666666667,6.44931062449311,8.48322399870174,8.78475208235297e-10,1.57922164734257e-07,1.39882712778258e-07,"1277/1294/1281/1282/1301/1284/1286/1278/1290/1289/1285/1287/4060/50509",14
"GO:0031252","GO:0031252","cell leading edge","87/2055","434/19880",0.200460829493088,1.93925123616671,6.71737989446579,9.3583505027708e-10,1.57922164734257e-07,1.39882712778258e-07,"9181/323/121512/7094/10810/10092/91663/154796/9079/3983/10235/11037/55604/11170/9265/5881/4739/273/64419/1809/83543/10979/10381/60/23189/11252/8861/26751/23022/9788/91039/2319/6093/4641/59/4771/28964/10630/8936/5290/81930/51763/10096/2852/2054/81565/5336/221178/55742/23616/375/23075/10253/57514/6643/51466/134/1182/25963/2890/64411/8516/8543/6868/51429/5311/90102/5783/538/72/27131/23362/2934/10787/10211/1021/10094/9260/8572/92154/1072/747/117145/8525/832/2185/322",87
"GO:0032432","GO:0032432","actin filament bundle","30/2055","95/19880",0.315789473684211,3.054936611602,6.81680099720768,1.25074201256894e-08,1.68850171696807e-06,1.49562413292454e-06,"134265/10611/54776/154796/4082/3983/7791/171024/11170/7171/23002/10979/1265/10627/81/23022/2316/59/800/359845/10580/54751/9124/103910/60312/2317/51466/9260/8572/5357",30
"GO:0030863","GO:0030863","cortical cytoskeleton","32/2055","109/19880",0.293577981651376,2.84006339427219,6.54063821209072,2.97412228036802e-08,3.34588756541402e-06,2.9636867635948e-06,"91663/26012/7171/10487/2764/60/81/7414/11214/11034/57731/2316/2319/6708/800/3927/4771/63895/9948/2035/3996/4643/1742/51429/2934/80306/10211/22919/92154/3092/832/5357",32
"GO:0005938","GO:0005938","cell cortex","66/2055","325/19880",0.203076923076923,1.96455923638405,5.95292053359862,5.8878436715375e-08,5.67756354041116e-06,5.02901534651624e-06,"91663/4082/26012/57085/7171/4739/9936/1397/10979/10487/2764/5587/60/23189/81/7414/23176/11214/11034/57731/2316/2319/6708/4641/800/3927/4771/3918/63895/83992/5663/23245/9948/2035/103910/2317/857/23616/3996/84552/23048/4643/26086/1742/3709/51429/5311/90102/285527/23265/2934/80306/80762/444/23187/10211/23233/22919/9590/92154/3092/84501/2263/832/5357/2185",66
"GO:0030027","GO:0030027","lamellipodium","46/2055","203/19880",0.226600985221675,2.19213021226613,5.79669808693679,2.28387688131107e-07,1.58355212766275e-05,1.40266293725137e-05,"323/121512/10810/10092/154796/3983/55604/5881/4739/1809/10979/10381/60/23022/2319/6093/59/4771/28964/10630/8936/5290/10096/2054/221178/55742/23616/23075/57514/6643/51466/64411/5311/5783/72/2934/10787/10211/10094/8572/92154/1072/8525/832/2185/322",46
"GO:0001725","GO:0001725","stress fiber","26/2055","85/19880",0.305882352941176,2.95909546300272,6.14576173900514,2.34600315209296e-07,1.58355212766275e-05,1.40266293725137e-05,"134265/10611/54776/154796/3983/7791/171024/11170/7171/23002/10979/1265/10627/81/23022/59/800/10580/54751/9124/103910/60312/2317/51466/9260/8572",26
"GO:0097517","GO:0097517","contractile actin filament bundle","26/2055","85/19880",0.305882352941176,2.95909546300272,6.14576173900514,2.34600315209296e-07,1.58355212766275e-05,1.40266293725137e-05,"134265/10611/54776/154796/3983/7791/171024/11170/7171/23002/10979/1265/10627/81/23022/59/800/10580/54751/9124/103910/60312/2317/51466/9260/8572",26
"GO:0030864","GO:0030864","cortical actin cytoskeleton","24/2055","80/19880",0.3,2.9021897810219,5.78834826564054,1.0017173650442e-06,5.59410997296714e-05,4.95509468170813e-05,"91663/10487/2764/81/7414/11214/11034/57731/2319/6708/800/3927/4771/63895/9948/3996/4643/51429/2934/80306/10211/92154/3092/5357",24
"GO:0042641","GO:0042641","actomyosin","26/2055","91/19880",0.285714285714286,2.7639902676399,5.72655409150295,1.02273257869166e-06,5.59410997296714e-05,4.95509468170813e-05,"134265/10611/54776/154796/3983/7791/171024/11170/7171/23002/10979/1265/10627/81/23022/59/800/10580/54751/9124/103910/60312/2317/51466/9260/8572",26
"GO:0005903","GO:0005903","brush border","29/2055","109/19880",0.26605504587156,2.57380745105918,5.59421223470523,1.27205770370102e-06,5.59410997296714e-05,4.95509468170813e-05,"51181/8884/54407/2683/65010/60/151056/10227/7414/197021/2316/4641/8029/10096/5339/4637/2768/103910/2317/1192/10999/4643/5900/538/27131/3320/832/5357/4891",29
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","77/2055","432/19880",0.178240740740741,1.72429485446517,5.16782990882993,1.29620157035188e-06,5.59410997296714e-05,4.95509468170813e-05,"8404/4239/309/1277/307/9510/12/4856/4240/4052/1294/7057/3908/6387/23452/9518/3912/302/4811/1281/7042/1282/4016/9509/1301/11096/3491/25878/8406/1284/6678/9068/1286/5118/283/3909/83729/50937/7041/1278/10218/1075/8483/4237/1298/1290/59/871/10516/3915/5271/3918/2239/5272/81621/1289/8292/7472/284018/7869/1992/7078/1285/1287/2201/2817/4060/54507/7058/8985/255631/2263/145864/4192/50509/3320/1520",77
"GO:0005912","GO:0005912","adherens junction","42/2055","189/19880",0.222222222222222,2.14977020816437,5.39257852771208,1.30052993770566e-06,5.59410997296714e-05,4.95509468170813e-05,"91624/7094/247/10611/4356/9414/7791/302/9265/64855/10979/8613/60/5818/7422/3909/1741/83604/7414/182/57731/1002/2319/126374/4771/10580/9124/23616/3996/4643/64403/2043/1742/5499/84978/10211/9260/9223/8572/4851/1004/1008",42
"GO:0002102","GO:0002102","podosome","16/2055","41/19880",0.390243902439024,3.77520621921548,6.03970477378708,1.32601125285147e-06,5.59410997296714e-05,4.95509468170813e-05,"7412/134265/6840/7171/51421/23022/7414/2316/80005/9948/5339/221178/5782/90102/2934/285590",16
