"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","actin binding","88/2030","443/18639",0.198645598194131,1.82391886933025,6.13584356027532,1.45175279493834e-08,1.41135299615038e-05,1.26377684853431e-05,"91624/783/121512/6840/84940/7094/10810/10092/10611/4082/3983/85464/171024/10093/65108/23500/11170/7171/51421/51734/83543/23002/10979/5581/10487/2764/1265/25802/10391/114/283/81/23022/7414/9788/11034/4130/57731/2316/27/6708/4641/800/3927/4771/6876/64780/63876/9645/8936/10580/5217/9948/81930/1730/55201/6525/283431/10096/5339/8507/2035/9124/60312/2317/55742/7169/51466/4643/57617/7139/114793/123720/3778/2934/80306/10094/9260/8572/92154/3092/1072/84501/8735/91010/64423/832/5357",88
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","66/2030","302/18639",0.218543046357616,2.00661272958601,6.16563309687052,2.20696324652132e-08,1.41135299615038e-05,1.26377684853431e-05,"5187/8325/672/2308/4086/8863/8313/3326/7855/7314/1959/4088/51465/10010/1734/54838/7384/1741/65018/79899/22836/9820/84557/7414/1026/4193/5567/4792/8878/84959/56254/9588/11345/7133/5002/91/7187/143384/57761/8323/339745/550/9618/71/3725/27101/8322/51429/10376/23381/92714/8883/102724560/5577/1152/11160/7157/8454/5970/3320/7466/9682/3300/2861/2185/322",66
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","66/2030","322/18639",0.204968944099379,1.88197839855582,5.58129068122131,2.80401076116904e-07,9.27114683720867e-05,8.30172236441548e-05,"5187/8325/672/2308/4086/8863/8313/3326/7855/7314/1959/4088/51465/10010/1734/54838/7384/1741/65018/79899/22836/9820/84557/7414/1026/4193/5567/4792/8878/84959/56254/9588/11345/7133/5002/91/7187/143384/57761/8323/339745/550/9618/71/3725/27101/8322/51429/10376/23381/92714/8883/102724560/5577/1152/11160/7157/8454/5970/3320/7466/9682/3300/2861/2185/322",66
"GO:0031267","GO:0031267","small GTPase binding","60/2030","283/18639",0.212014134275618,1.94666573830702,5.61017983431471,2.89949861992453e-07,9.27114683720867e-05,8.30172236441548e-05,"9181/121512/23032/9475/23500/81553/84440/10928/23002/11260/128344/10602/115704/10048/22836/84079/11214/8498/2316/80005/9815/27342/80223/23312/6093/4641/8934/28964/9727/64780/8936/23062/89781/8531/1730/56990/26999/11127/857/79803/196383/23039/2890/9710/29881/55654/538/114793/123720/404636/10787/92154/51555/55705/91010/64423/160518/10527/259173/10938",60
"GO:0051020","GO:0051020","GTPase binding","64/2030","315/18639",0.203174603174603,1.86550316678396,5.41613806629701,5.84851716182807e-07,0.000149605068999562,0.000133961824675136,"9181/121512/23032/9475/23500/81553/84440/10113/10928/23002/11260/128344/10602/115704/10048/22836/84079/11214/8498/2316/80005/9815/27342/3376/80223/23312/6093/4641/8934/28964/9727/64780/8936/23062/89781/8531/1730/2783/56990/26999/11127/857/79803/196383/23039/2890/9710/29881/55654/538/114793/123720/404636/10787/92154/51555/55705/3320/91010/64423/160518/10527/259173/10938",64
"GO:0048407","GO:0048407","platelet-derived growth factor binding","8/2030","11/18639",0.727272727272727,6.67765338110166,6.58503417974481,2.38086048786258e-06,0.000507520093996041,0.000454451966806051,"1277/1281/1282/1278/5159/1289/5154/5156",8
"GO:0140297","GO:0140297","DNA-binding transcription factor binding","86/2030","488/18639",0.176229508196721,1.61809941048211,4.83719830585006,4.28941472308823e-06,0.000783737347261406,0.000701786950183457,"5187/307/7158/5396/4609/8202/6722/7508/604/8013/55809/3148/10370/3164/6867/1649/6774/23468/1959/4088/6777/6776/688/3516/60/123016/55062/81/7088/7041/8861/23013/3315/51564/2316/6717/23543/4792/51523/64375/3297/2965/5111/5468/11168/1054/9730/28996/861/5716/7005/27086/7027/23028/2034/6662/10865/8545/4205/2002/5885/3725/9282/129880/3159/5393/8543/1108/3066/5705/6926/1385/6929/10474/10014/7376/84913/23414/9915/7994/7157/4801/5970/7466/5595/4209",86
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","16/2030","44/18639",0.363636363636364,3.33882669055083,5.4300298667102,7.79657957365667e-06,0.00124647815933836,0.00111614191791295,"1277/1294/1281/1282/1301/1284/1286/1278/1298/1290/1289/8292/1285/1287/255631/50509",16
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","76/2030","433/18639",0.175519630484988,1.61158147419197,4.50160029422862,1.75976115342766e-05,0.00239151829226077,0.00214145253444691,"7048/152110/896/127933/4052/11113/5562/9475/1326/9943/9706/5894/9252/79858/51422/5581/6196/4217/1760/5587/9891/8493/94/2475/5598/5592/5593/23043/65018/56975/57118/815/5567/5602/6093/1019/8895/8491/340371/23476/375449/2869/5290/9730/5604/28996/5681/91/5292/5255/5128/10769/130399/8780/5606/25778/9262/11213/23604/814/57538/6788/5891/1022/80216/1021/10114/23139/9149/5166/4215/6446/26750/2870/5595/2185",76
"GO:0004860","GO:0004860","protein kinase inhibitor activity","23/2030","84/18639",0.273809523809524,2.51405700211119,4.86213843397974,2.16273669923241e-05,0.00239151829226077,0.00214145253444691,"11113/200734/51422/1030/836/2764/51562/84152/3315/1026/9467/8651/5569/5611/57761/55742/857/10253/11261/85450/5577/55450/7529",23
