"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","23/356","432/19880",0.0532407407407407,2.97310653349979,5.59877225143044,3.7053308791071e-06,0.00130057113856659,0.00125201180230882,"8404/307/9510/12/4240/1294/7057/3908/4811/1282/1301/11096/3491/9068/1286/3909/10218/1075/8483/59/1285/2201/145864",23
"GO:0098644","GO:0098644","complex of collagen trimers","5/356","21/19880",0.238095238095238,13.2958801498127,7.61252000936618,2.87712226473651e-05,0.00504934957461258,0.00486082235252853,"1294/1282/1301/1286/1285",5
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","17/356","315/19880",0.053968253968254,3.01373283395755,4.86468885914102,5.84123764403031e-05,0.00537194581370694,0.00517137383775657,"8404/57104/4240/1294/7057/285203/1282/10272/1301/11096/3491/1286/56975/1075/1285/91851/121506",17
"GO:0005604","GO:0005604","basement membrane","9/356","97/19880",0.0927835051546392,5.18128113054558,5.57425749580064,6.121875571176e-05,0.00537194581370694,0.00517137383775657,"9510/1294/3908/4811/1282/1286/3909/59/1285",9
"GO:0031252","GO:0031252","cell leading edge","20/356","434/19880",0.0460829493087558,2.57339615802827,4.47513020519934,0.000119693020397588,0.0084024500319107,0.00808872832581597,"121512/10810/91663/3983/10235/11037/55604/11170/9265/5881/4739/273/23189/9788/59/10630/5336/8516/72/2185",20
"GO:0005912","GO:0005912","adherens junction","11/356","189/19880",0.0582010582010582,3.25010403662089,4.19698561917653,0.000626502514958215,0.0347187089620082,0.0334224188838046,"91624/247/10611/4356/9414/9265/3909/83604/1002/10580/2043",11
"GO:0001725","GO:0001725","stress fiber","7/356","85/19880",0.0823529411764706,4.59881031064111,4.48981588588908,0.000830290014084124,0.0347187089620082,0.0334224188838046,"134265/10611/3983/171024/11170/59/10580",7
"GO:0097517","GO:0097517","contractile actin filament bundle","7/356","85/19880",0.0823529411764706,4.59881031064111,4.48981588588908,0.000830290014084124,0.0347187089620082,0.0334224188838046,"134265/10611/3983/171024/11170/59/10580",7
"GO:0005581","GO:0005581","collagen trimer","7/356","86/19880",0.0813953488372093,4.54533577214528,4.44915649263576,0.000890223306718159,0.0347187089620082,0.0334224188838046,"1294/1282/114897/1301/1286/1896/1285",7
"GO:0042641","GO:0042641","actomyosin","7/356","91/19880",0.0769230769230769,4.29559204840104,4.25480915056246,0.001242924148711,0.0436266376197562,0.0419977528143402,"134265/10611/3983/171024/11170/59/10580",7
