"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051962","GO:0051962","positive regulation of nervous system development","22/285","290/18870",6.05710935518551e-10,2.06305144637618e-06,1.62713084994036e-06,"1382/26045/23767/8153/6387/3976/1959/6091/7422/2048/50937/146433/84189/2049/8140/57633/7472/54674/26011/118738/40/4803",22
"GO:0051960","GO:0051960","regulation of nervous system development","26/285","466/18870",1.13177590615743e-08,1.92741436818611e-05,1.5201537434283e-05,"1382/26045/23767/8153/6387/3976/11221/10371/1959/80031/1030/6091/7422/2048/50937/146433/84189/2049/8140/57633/7472/54674/26011/118738/40/4803",26
"GO:0010720","GO:0010720","positive regulation of cell development","23/285","444/18870",3.08886970186972e-07,0.000350689673485609,0.00027658931505865,"6659/1382/8153/6387/3976/11221/8111/1959/8654/6091/7422/2048/50937/146433/1960/8651/8140/7472/26011/8744/118738/4803/1230",23
"GO:0007409","GO:0007409","axonogenesis","22/285","448/18870",1.37018954507693e-06,0.00116671639763301,0.000920190452377983,"1382/23767/8153/6387/9252/6324/10371/1959/80031/85449/10381/6091/7422/2048/57731/84189/25894/2049/9890/2044/2263/4803",22
"GO:1903522","GO:1903522","regulation of blood circulation","16/285","258/18870",2.0920654067631e-06,0.00126094314102766,0.000994507184195872,"9096/1193/624/79924/6324/7042/8654/10008/287/57731/143872/150/845/134/5743/40",16
"GO:0007411","GO:0007411","axon guidance","15/285","233/18870",2.76374045030633e-06,0.00126094314102766,0.000994507184195872,"23767/6387/9252/6324/10371/1959/80031/85449/10381/6091/7422/2048/25894/2049/2044",15
"GO:0097485","GO:0097485","neuron projection guidance","15/285","233/18870",2.76374045030633e-06,0.00126094314102766,0.000994507184195872,"23767/6387/9252/6324/10371/1959/80031/85449/10381/6091/7422/2048/25894/2049/2044",15
"GO:0010959","GO:0010959","regulation of metal ion transport","20/285","398/18870",2.96169851092815e-06,0.00126094314102766,0.000994507184195872,"1193/6387/6324/623/23327/5581/5027/10008/287/2847/57620/815/57731/150/845/3787/134/196051/5743/1230",20
"GO:0050769","GO:0050769","positive regulation of neurogenesis","15/285","242/18870",4.39867995149351e-06,0.00157639590403742,0.00124330511082718,"1382/8153/6387/3976/1959/6091/7422/2048/50937/146433/8140/7472/26011/118738/4803",15
"GO:0051965","GO:0051965","positive regulation of synapse assembly","8/285","63/18870",4.62829096898831e-06,0.00157639590403742,0.00124330511082718,"26045/23767/2048/84189/2049/57633/54674/40",8
"GO:0050767","GO:0050767","regulation of neurogenesis","19/285","390/18870",8.18648696724102e-06,0.00253483405549299,0.00199922629094728,"1382/8153/6387/3976/11221/10371/1959/80031/1030/6091/7422/2048/50937/146433/8140/7472/26011/118738/4803",19
"GO:0006935","GO:0006935","chemotaxis","21/285","468/18870",9.63522624551561e-06,0.00269247936327908,0.00212356131133548,"7412/4856/154796/23767/6387/7042/10371/80031/1901/7130/6091/51554/7422/146433/1960/3082/9023/3592/6355/5228/1230",21
"GO:0042330","GO:0042330","taxis","21/285","470/18870",1.02766387911415e-05,0.00269247936327908,0.00212356131133548,"7412/4856/154796/23767/6387/7042/10371/80031/1901/7130/6091/51554/7422/146433/1960/3082/9023/3592/6355/5228/1230",21
"GO:0032413","GO:0032413","negative regulation of ion transmembrane transporter activity","8/285","73/18870",1.41003621448383e-05,0.00338478410582554,0.00266958279137954,"6536/1193/23327/5581/10008/2048/150/845",8
"GO:0001503","GO:0001503","ossification","20/285","444/18870",1.49065653515511e-05,0.00338478410582554,0.00266958279137954,"1277/338773/55603/4086/1959/1901/55366/5027/7130/126820/8200/3082/81621/1591/6662/25884/340419/5743/2263/1230",20
"GO:0030282","GO:0030282","bone mineralization","10/285","123/18870",1.76349309028093e-05,0.00375403591593552,0.00296081208315587,"338773/55603/1901/55366/5027/6662/340419/5743/2263/1230",10
