"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","actin binding","88/2032","438/18496",1.2467629415641e-08,1.42006299044151e-05,1.2874467849204e-05,"91624/783/309/121512/6840/84940/7094/10810/10092/10611/4082/3983/85464/171024/10093/65108/23500/11170/7171/51734/83543/23002/10979/5581/10487/2764/1265/25802/10391/114/283/81/23022/7414/9788/11034/4130/57731/2316/27/6708/4641/800/3927/4771/6876/64780/63876/9645/8936/10580/5217/9948/81930/1730/55201/6525/283431/10096/5339/8507/2035/9124/60312/2317/55742/7169/51466/4643/57617/7139/114793/123720/3778/2934/80306/10094/9260/8572/92154/3092/1072/84501/8735/91010/64423/832/5357",88
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","66/2032","308/18496",6.80848178171455e-08,3.87743037468643e-05,3.51532664624314e-05,"5187/8325/672/2308/4086/8863/8313/3326/7855/7314/1959/4088/51465/10010/1734/54838/3310/7384/1741/65018/79899/22836/9820/84557/7414/1026/4193/5567/4792/8878/84959/56254/9588/11345/7133/5002/91/7187/143384/57761/8323/339745/550/9618/71/3725/27101/8322/51429/10376/23381/92714/8883/102724560/5577/1152/11160/7157/8454/5970/3320/7466/9682/2861/2185/322",66
"GO:0031267","GO:0031267","small GTPase binding","59/2032","281/18496",6.82370615471216e-07,0.000194896440791123,0.000176695539407691,"9181/121512/23032/9475/23500/81553/84440/10928/23002/11260/128344/10602/115704/10048/22836/84079/11214/2316/80005/9815/27342/80223/23312/6093/4641/8934/28964/9727/64780/8936/89781/23062/8531/1730/56990/26999/11127/857/79803/196383/23039/2890/9710/29881/55654/538/114793/123720/404636/10787/92154/51555/55705/91010/160518/64423/10527/259173/10938",59
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","66/2032","327/18496",6.84447553261188e-07,0.000194896440791123,0.000176695539407691,"5187/8325/672/2308/4086/8863/8313/3326/7855/7314/1959/4088/51465/10010/1734/54838/3310/7384/1741/65018/79899/22836/9820/84557/7414/1026/4193/5567/4792/8878/84959/56254/9588/11345/7133/5002/91/7187/143384/57761/8323/339745/550/9618/71/3725/27101/8322/51429/10376/23381/92714/8883/102724560/5577/1152/11160/7157/8454/5970/3320/7466/9682/2861/2185/322",66
"GO:0051020","GO:0051020","GTPase binding","63/2032","313/18496",1.34266221320843e-06,0.00030585845216888,0.000277295080243677,"9181/121512/23032/9475/23500/81553/84440/10113/10928/23002/11260/128344/10602/115704/10048/22836/84079/11214/2316/80005/9815/27342/3376/80223/23312/6093/4641/8934/28964/9727/64780/8936/89781/23062/8531/1730/2783/56990/26999/11127/857/79803/196383/23039/2890/9710/29881/55654/538/114793/123720/404636/10787/92154/51555/55705/3320/91010/160518/64423/10527/259173/10938",63
"GO:0048407","GO:0048407","platelet-derived growth factor binding","8/2032","11/18496",2.54514708706686e-06,0.000483153755361526,0.000438033209195192,"1277/1281/1282/1278/5159/1289/5154/5156",8
"GO:0019210","GO:0019210","kinase inhibitor activity","23/2032","76/18496",4.00597602886532e-06,0.000651829528125372,0.000590956764558929,"11113/7453/200734/51422/1030/836/2764/51562/84152/3315/1026/9467/8651/5569/5611/57761/55742/10253/11261/85450/5577/55450/7529",23
"GO:0004860","GO:0004860","protein kinase inhibitor activity","22/2032","72/18496",5.42042244536282e-06,0.000771732645658531,0.000699662423539595,"11113/200734/51422/1030/836/2764/51562/84152/3315/1026/9467/8651/5569/5611/57761/55742/10253/11261/85450/5577/55450/7529",22
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","77/2032","427/18496",7.82380963105714e-06,0.000901743362562316,0.00081753175793506,"7048/152110/896/127933/4052/11113/5562/9475/1326/9943/9706/5894/9252/79858/51422/5581/6196/4217/1760/5587/9891/8493/94/2475/5598/5592/5593/23043/65018/56975/57118/815/5567/8878/5602/6093/1019/8895/8491/340371/23476/375449/2869/5290/9730/5604/28996/5681/91/5292/5255/5128/10769/130399/8780/5606/25778/9262/11213/23604/2022/814/57538/6788/5891/1022/80216/1021/10114/23139/9149/4215/6446/26750/2870/5595/2185",77
"GO:0140297","GO:0140297","DNA-binding transcription factor binding","84/2032","477/18496",7.9169742103803e-06,0.000901743362562316,0.00081753175793506,"5187/307/7158/5396/4609/8202/6722/7508/604/8013/55809/3148/10370/3164/6867/1649/6774/23468/1959/4088/6777/6776/688/3516/60/123016/55062/81/7088/7041/8861/23013/3315/51564/2316/6717/23543/4792/51523/64375/3297/2965/5111/5468/1054/9730/28996/5716/7005/27086/7027/23028/2034/6662/10865/8545/4205/2002/5885/3725/9282/129880/3159/5393/8543/1108/3066/5705/6926/1385/6929/10474/10014/7376/84913/23414/9915/7994/7157/4801/5970/7466/5595/4209",84
