"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","21/341","321/18870",4.30783851226352e-07,0.000576538757217946,0.000502946255244268,"83716/8837/9510/1294/3908/5806/4811/8313/1282/1301/11096/3491/1286/28984/10218/4324/10630/2824/8516/10653/1285",21
"GO:0043062","GO:0043062","extracellular structure organization","21/341","322/18870",4.53354124587647e-07,0.000576538757217946,0.000502946255244268,"83716/8837/9510/1294/3908/5806/4811/8313/1282/1301/11096/3491/1286/28984/10218/4324/10630/2824/8516/10653/1285",21
"GO:0045229","GO:0045229","external encapsulating structure organization","21/341","323/18870",4.77003935922184e-07,0.000576538757217946,0.000502946255244268,"83716/8837/9510/1294/3908/5806/4811/8313/1282/1301/11096/3491/1286/28984/10218/4324/10630/2824/8516/10653/1285",21
"GO:0032970","GO:0032970","regulation of actin filament-based process","21/341","379/18870",6.05297542227616e-06,0.00536098800232385,0.00467668271460016,"10810/91663/85464/488/171024/55604/23500/11170/5295/5881/4739/10602/28984/25802/23189/9788/59/10630/2824/6781/2185",21
"GO:0031589","GO:0031589","cell-substrate adhesion","20/341","356/18870",8.23804762680729e-06,0.00536098800232385,0.00467668271460016,"91663/79834/7057/11037/55604/11170/4811/5295/5881/4739/8515/3491/23189/1896/10630/55679/10580/2824/8516/2185",20
"GO:0003012","GO:0003012","muscle system process","23/341","452/18870",8.87091230390046e-06,0.00536098800232385,0.00467668271460016,"18/28999/783/8837/2308/10611/2309/147/29995/488/8013/3164/2668/3952/114907/25802/59/5468/6332/6781/7139/3752/8735",23
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","15/341","220/18870",1.19686082132029e-05,0.00604978496528556,0.0052775579355773,"91663/79834/7057/55604/11170/4811/5295/5881/4739/3491/23189/10630/55679/2824/2185",15
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","10/341","100/18870",1.33475674909775e-05,0.00604978496528556,0.0052775579355773,"91663/79834/55604/5295/5881/4739/23189/10630/55679/8516",10
"GO:0001503","GO:0001503","ossification","22/341","444/18870",2.09632014093286e-05,0.00844584092335839,0.0073677684485418,"7704/1052/25840/6272/23051/8313/10272/3952/1301/3491/91461/56975/51232/5468/2824/6781/9249/2201/102724560/91851/5167/2185",22
"GO:0009063","GO:0009063","amino acid catabolic process","10/341","113/18870",3.89240947768587e-05,0.0135901378481344,0.0118554196979835,"2752/18/5625/6470/10157/2744/4329/23576/137872/102724560",10
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","9/341","93/18870",4.68884436440072e-05,0.0135901378481344,0.0118554196979835,"2752/5625/6470/10157/2744/4329/23576/137872/102724560",9
"GO:0045444","GO:0045444","fat cell differentiation","15/341","248/18870",4.84769793468377e-05,0.0135901378481344,0.0118554196979835,"7704/1052/6272/2308/3625/79689/8013/3164/8313/3952/4329/688/2487/5468/5167",15
"GO:0035914","GO:0035914","skeletal muscle cell differentiation","8/341","73/18870",5.06869339861058e-05,0.0135901378481344,0.0118554196979835,"8819/23764/10370/3164/688/467/3344/3131",8
"GO:1904659","GO:1904659","glucose transmembrane transport","10/341","117/18870",5.24715747032215e-05,0.0135901378481344,0.0118554196979835,"28999/8660/6272/50651/8013/5295/51422/3952/10580/5167",10
"GO:0008645","GO:0008645","hexose transmembrane transport","10/341","120/18870",6.50997491475578e-05,0.015736779360603,0.013728052364099,"28999/8660/6272/50651/8013/5295/51422/3952/10580/5167",10
"GO:0046323","GO:0046323","glucose import","8/341","77/18870",7.4533907383654e-05,0.0158337969918213,0.013812686144054,"28999/8660/6272/5295/51422/3952/10580/5167",8
"GO:0015749","GO:0015749","monosaccharide transmembrane transport","10/341","123/18870",8.02243715759749e-05,0.0158337969918213,0.013812686144054,"28999/8660/6272/50651/8013/5295/51422/3952/10580/5167",10
"GO:0010827","GO:0010827","regulation of glucose transmembrane transport","8/341","78/18870",8.17641849702477e-05,0.0158337969918213,0.013812686144054,"28999/8660/8013/5295/51422/3952/10580/5167",8
"GO:2000146","GO:2000146","negative regulation of cell motility","19/341","388/18870",8.94483632046653e-05,0.0158337969918213,0.013812686144054,"1843/247/2309/8819/388/7057/10370/4739/104/3622/28984/23189/79772/89795/5468/6781/2043/10653/54567",19
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","8/341","79/18870",8.95665522719858e-05,0.0158337969918213,0.013812686144054,"2752/1503/2730/5625/2744/9945/23576/137872",8
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","14/341","234/18870",9.68007348552831e-05,0.0158337969918213,0.013812686144054,"2878/8837/7048/51181/2308/7057/2643/3952/3491/5336/4129/102724560/5166/2185",14
"GO:0150115","GO:0150115","cell-substrate junction organization","9/341","102/18870",9.68740474043651e-05,0.0158337969918213,0.013812686144054,"79834/7057/11037/11170/5295/3909/10580/2824/2185",9
"GO:0046324","GO:0046324","regulation of glucose import","7/341","60/18870",0.000100435005739628,0.0158337969918213,0.013812686144054,"28999/8660/5295/51422/3952/10580/5167",7
"GO:0009065","GO:0009065","glutamine family amino acid catabolic process","5/341","27/18870",0.000108920130969063,0.0162034821902238,0.0141351827391711,"2752/5625/2744/23576/137872",5
"GO:1900024","GO:1900024","regulation of substrate adhesion-dependent cell spreading","7/341","61/18870",0.000111717334461003,0.0162034821902238,0.0141351827391711,"91663/55604/5881/4739/23189/10630/55679",7
"GO:0072537","GO:0072537","fibroblast activation","4/341","15/18870",0.000122171076803612,0.0166538502092843,0.014528063366592,"2730/3952/28984/59",4
"GO:1903053","GO:1903053","regulation of extracellular matrix organization","7/341","62/18870",0.00012400826134878,0.0166538502092843,0.014528063366592,"8837/3908/4811/8313/28984/10218/10630",7
