"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","63/1023","203/9447",2.09356546022458e-15,7.05531560095684e-13,3.92268054652606e-13,"1277/7094/54776/896/9475/7057/3908/7791/5894/3912/5500/5295/5881/1282/2012/8515/5728/1284/10627/60/1286/7422/3909/8503/81/7414/1278/2316/1298/56034/5602/6093/3673/3082/3915/3918/3480/5290/858/5604/5159/3696/103910/2317/5293/6655/55742/2013/857/5154/2002/71/53358/3725/8516/1285/1287/5499/7424/7058/5156/5228/5595",63
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","55/1023","204/9447",6.73524717765277e-11,1.13488914943449e-08,6.30986314537996e-09,"1277/8325/54776/9475/117581/4609/7057/5894/5500/5295/7855/7042/6774/836/27250/60/2475/7422/6382/8503/287/1278/815/6237/1026/2316/4193/5567/6093/3673/3082/3480/5290/858/5604/5336/5293/6655/7472/857/8323/5781/2002/71/3709/7078/8322/22800/5499/4893/23365/2817/4060/7157/5595",55
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","80/1023","362/9447",1.94278734979447e-10,2.18239778960245e-08,1.21338999390672e-08,"1277/90993/672/9586/896/2309/5562/4609/7057/3908/6009/5894/3912/59345/3164/5295/3326/2668/1282/8515/2790/5728/4170/1284/1286/2475/7422/3909/8503/1278/1026/4193/1298/56034/3673/1019/27006/5516/3082/3915/3918/3480/5290/5604/5159/54331/2783/1945/3696/3717/5293/6655/5154/3667/1902/8516/1285/1385/1287/64764/4893/7424/1129/1021/7058/9223/5156/9180/2263/7157/4803/5228/3570/6446/5970/3320/117145/7529/5595/1435",80
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","58/1023","232/9447",5.14126836463532e-10,3.97729343561973e-08,2.21133291126132e-08,"10092/54776/9475/6387/85464/5894/10093/624/5500/5295/5881/730/8515/81553/623/10627/60/28984/8503/81/7414/6237/56034/6093/3673/27006/28964/8936/5290/5217/5604/5159/1730/10096/3696/2768/103910/26999/5293/6655/221178/5154/71/729/1902/8516/22800/5499/4893/23365/1129/2934/10787/10094/5156/1072/2263/5595",58
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","34/1023","101/9447",5.90102883623105e-10,3.97729343561973e-08,2.21133291126132e-08,"7412/1277/7048/2308/5295/1281/7042/6774/1282/4088/6777/6776/836/5581/1284/1286/7422/8503/1278/5602/1019/5290/3717/5292/5336/5293/3725/1285/1287/4893/7424/23236/5970/5595",34
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","39/1023","130/9447",1.51304526520476e-09,7.7167344336753e-08,4.29042239323506e-08,"1277/90993/7048/9586/5894/59345/5295/1281/1282/2790/1284/196883/1286/7422/114/8503/1278/5567/4792/5602/59/5290/5604/54331/2783/59350/5293/6655/53358/3725/1285/1385/1287/64764/4893/7424/23236/5970/5595",39
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","57/1023","233/9447",1.75140304822998e-09,7.7167344336753e-08,4.29042239323506e-08,"1277/7094/10611/7057/3908/25777/7791/171024/23500/4811/1281/7171/1282/8515/1301/23002/476/6444/1284/60/1286/25802/6382/287/7414/1278/57731/1298/1290/3673/1837/1730/5339/1289/3696/9124/7169/71/6443/4001/8516/7139/1285/1287/114793/2201/72/7058/9260/8572/79188/255631/50509/8735/91010/64423/832",57
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","73/1023","333/9447",1.83186574093182e-09,7.7167344336753e-08,4.29042239323506e-08,"1277/8325/90993/9586/2308/896/7057/3908/6009/5894/3912/5295/8313/7855/1282/8515/5728/3516/836/1284/1286/2475/7422/3909/1741/8503/9114/1278/182/1026/4193/1298/5567/890/3673/1019/5516/3955/3915/3918/5290/5663/5604/5159/7187/3696/5293/6655/7472/8323/4799/3996/84552/8516/1108/3066/10312/8322/1285/1385/1287/64764/10474/4893/1021/7058/9223/5743/4851/529/7157/5970/5595",73
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","43/1023","157/9447",4.95295791518097e-09,1.85460757490665e-07,1.0311421156751e-07,"7048/4616/2308/896/2309/5810/4609/6009/5894/5500/5295/7042/4088/1030/5728/2475/8503/678/7417/6237/1026/4193/8878/890/1019/823/677/801/5290/5604/28996/2305/5293/5606/3709/22800/5499/4893/1021/10114/7157/5970/5595",43
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","36/1023","120/9447",6.46684610361421e-09,2.17932713691799e-07,1.21168274362456e-07,"6272/2309/5894/9252/5295/396/9500/6196/4217/5598/8503/815/4792/5602/801/5290/5663/5604/27018/5336/5293/6655/5781/3667/53358/3725/11213/814/4893/7157/4803/3656/4793/4215/5970/5595",36
