"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","18/181","233/9447",4.72085870393337e-07,0.000120853982820694,0.000102368094001081,"10611/7057/3908/25777/171024/23500/4811/1282/8515/1301/1286/25802/8516/7139/1285/2201/72/8735",18
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","9/181","89/9447",4.85219616949747e-05,0.00621081109695677,0.00526080216271831,"7057/3908/1282/8515/1286/3909/3161/8516/1285",9
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","11/181","174/9447",0.000505550599477951,0.04141214227523,0.0350777191969464,"8325/896/23500/8313/7855/85407/5881/284654/2487/8323/147495",11
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","16/181","333/9447",0.000647064723050468,0.04141214227523,0.0350777191969464,"8325/2308/896/7057/3908/5295/8313/7855/1282/8515/1286/3909/890/8323/8516/1285",16
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","9/181","133/9447",0.00101092444938084,0.0450217762893343,0.038135221692446,"8660/7048/4616/2308/2309/11067/5295/51422/114907",9
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","6/181","61/9447",0.00105519788178127,0.0450217762893343,0.038135221692446,"4502/4501/26872/261729/4493/4499",6
"hsa04977","Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","4/181","26/9447",0.0014010938896443,0.0496013037858051,0.042014262252779,"8884/151056/10560/80704",4
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","10/181","170/9447",0.00156832837939547,0.0496013037858051,0.042014262252779,"8325/7048/4616/7296/6603/5295/8313/7855/5336/8323",10
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","11/181","203/9447",0.00178967103157204,0.0496013037858051,0.042014262252779,"896/7057/3908/5295/5881/1282/8515/1286/3909/8516/1285",11
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","7/181","93/9447",0.00199927128526736,0.0496013037858051,0.042014262252779,"4616/3908/5295/1282/1286/3909/1285",7
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","9/181","148/9447",0.00213130602204631,0.0496013037858051,0.042014262252779,"8325/4616/8202/5295/8313/7855/27006/8323/54567",9
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","8/181","122/9447",0.00233862163426004,0.0498905948642143,0.0422593032155762,"8660/2308/2309/5295/51422/3952/890/5468",8
